link,category,price_from,price_to,similarweb_traffic,moz_da,semrush_as,ahrefs_dr_range,tat,link_attribution_type
times.co.id,"[""Business"", ""Movies"", ""Society""]",75,97.5,,24,42,50,Indonesian,Dofollow
techmagazines.net,"[""Computers"", ""Technology"", ""Marketing and Advertising""]",32.5,37.5,5504,58,28,46,Up to 5 days,Dofollow
scopenew.com,"[""Business"", ""Health"", ""Technology""]",27.3,37.3,34503,65,19,46,Up to 7 days,Dofollow
invidiatamagazine.com,"[""Games"", ""Technology"", ""Lifestyle""]",28.5,31.5,320,31,5,71,Up to 9 days,Dofollow
bmtimes.co.uk,"[""Fashion"", ""Music"", ""Sports""]",24,27.5,21322,52,36,53,Up to 7 days,Dofollow
techktimes.co.uk,"[""Animals and Pets"", ""Games"", ""Technology""]",29.5,32.5,11420,51,31,51,Up to 7 days,Dofollow
ventsmagazine.co.uk,"[""Business"", ""Fashion"", ""Technology""]",24.5,24.5,6851,57,44,68,Up to 3 days,Dofollow
minimalistfocus.net,"[""Technology"", ""Sports"", ""Travelling""]",17.5,17.5,48094,57,31,68,Up to 5 days,Dofollow
business-review.eu,"[""Business"", ""Finance"", ""Technology""]",134.99,142.49,77199,60,36,75,Up to 5 days,Dofollow
fundly.com,"[""Business"", ""Finance"", ""Law""]",16.5,19.5,204343,71,42,80,Up to 6 days,Dofollow
meinbezirk.at,"[""Technology"", ""News and Media"", ""Sports""]",52.5,60,8548048,76,65,84,Up to 5 days,Dofollow
newswatchtv.com,"[""Technology"", ""Web-development""]",48,63,32171,48,33,69,Up to 4 days,Dofollow
newswire.net,"[""Business"", ""Technology"", ""News and Media""]",23.5,25.5,200,58,6,70,Up to 6 days,Dofollow
upbeatgeek.com,"[""Business"", ""Technology"", ""Law""]",49.5,124.49,27396,41,32,51,Up to 6 days,Dofollow
signalscv.com,"[""Business"", ""Education"", ""News and Media""]",194.99,209.99,401283,74,45,75,Up to 3 days,Dofollow
researchsnipers.com,"[""Business"", ""Technology"", ""Miscellaneous""]",27.5,45,41760,74,36,57,Up to 5 days,Dofollow
charmfulnames.com,"[""Business"", ""Fashion"", ""Marketing and Advertising""]",26.5,27.5,28275,31,24,65,Up to 5 days,Dofollow
broadwayworld.com,"[""Culture"", ""Movies"", ""Music""]",75,0,2894237,87,53,87,Up to 4 days,Dofollow
urbanmatter.com,"[""Entertainment"", ""Health"", ""Travelling""]",247.49,322.48,48701,51,36,73,N/A,Dofollow
ourculturemag.com,"[""Art"", ""Books"", ""Fashion""]",194.99,217.49,210956,58,40,60,Up to 6 days,Dofollow
computertechreviews.com,"[""Business"", ""Computers"", ""Technology""]",75,90,10687,60,32,69,Up to 5 days,Dofollow
myflexbot.co.uk,"[""Business"", ""Beauty"", ""Fashion""]",22.5,25.5,31857,39,27,65,Up to 7 days,Dofollow
activerain.com,"[""Business"", ""Entertainment"", ""Finance""]",1398.01,1398.01,161033,72,30,79,N/A,No
healthsoothe.com,"[""Health"", ""Home and Family"", ""Lifestyle""]",30.5,31.5,4394,59,21,57,Up to 3 days,Dofollow
okmagazine.com,"[""Culture"", ""Fashion"", ""News and Media""]",1159.05,1165.55,1312047,82,55,76,Up to 6 days,Dofollow
myurlpro.com,"[""Business"", ""Technology"", ""Travelling""]",22.5,22.5,251,61,17,60,Up to 5 days,Dofollow
flixpress.com,"[""Business"", ""Technology"", ""Marketing and Advertising""]",37.5,45,28725,41,33,58,Up to 3 days,Dofollow
euroweeklynews.com,"[""Finance"", ""Lifestyle"", ""News and Media""]",419.98,419.98,689015,72,49,74,Up to 6 days,Dofollow
scoop.co.nz,"[""Business"", ""Technology"", ""News and Media""]",149.99,172.49,533066,82,49,80,Up to 6 days,Dofollow
selfgrowth.com,"[""Beauty"", ""Health"", ""Lifestyle""]",22.5,29.5,53250,63,29,77,N/A,No
myfourandmore.com,"[""Home and Family"", ""Movies"", ""Travelling""]",43.5,60,2870,57,24,51,Up to 4 days,Dofollow
netizensreport.com,"[""Art"", ""Culture"", ""Sports""]",49.5,124.49,35982,39,27,53,Up to 6 days,Dofollow
mothersalwaysright.com,"[""For ?hildren"", ""Home and Family"", ""Lifestyle""]",197.99,199.49,185015,68,45,63,Up to 5 days,Dofollow
thehearup.com,"[""Business"", ""Technology"", ""News and Media""]",22.5,34.5,4676,66,27,48,Up to 7 days,Dofollow
asktotalk.com,"[""Entertainment"", ""Leisure and Hobbies"", ""Travelling""]",36.5,45,49425,32,28,28,Up to 6 days,Dofollow
daysofadomesticdad.com,"[""For Men"", ""Home and Family"", ""Lifestyle""]",123.74,198.74,38890,37,34,67,Up to 6 days,Dofollow
constructionhow.com,"[""Construction and Repairs"", ""Home and Family"", ""Manufacturing""]",60,0,2577,55,20,40,Up to 3 days,Dofollow
fingerlakes1.com,"[""Business"", ""News and Media"", ""Sports""]",194.99,202.49,1903609,53,47,74,Up to 6 days,Dofollow
allaroundmoving.com,"[""Construction and Repairs"", ""Home and Family"", ""Real Estate""]",62.7,137.69,4990,56,28,49,Up to 6 days,Dofollow
e-architect.com,"[""Business"", ""Lifestyle"", ""Real Estate""]",314.98,389.98,105981,81,35,73,Up to 7 days,Dofollow
thedatascientist.com,"[""Technology"", ""Internet"", ""Software development""]",45,119.99,89509,38,41,58,Up to 6 days,Dofollow
ilounge.com,"[""Gadgets""]",179.99,247.49,134352,82,40,74,Up to 3 days,Dofollow
fashionweekonline.com,"[""Beauty"", ""Fashion"", ""Lifestyle""]",101.99,104.99,91622,63,44,72,Up to 4 days,Dofollow
budgetsavvydiva.com,"[""For ?hildren"", ""For Women"", ""Lifestyle""]",42,57,22849,55,27,58,More than 10 days,Dofollow
abcmoney.co.uk,"[""Business"", ""Technology"", ""Travelling""]",139.78,214.77,32040,71,41,62,Up to 6 days,Dofollow
washingtontimes.com,"[""Business"", ""News and Media""]",1723.99,0,1751628,88,60,86,N/A,Sponsored
blog.libero.it,"[""Business"", ""Lifestyle"", ""News and Media""]",17.5,20.5,464876,85,81,83,Up to 4 days,Dofollow
suara.com,"[""Technology"", ""News and Media"", ""Sports""]",524.97,599.97,13224750,73,78,81,Up to 7 days,Dofollow
tycoonstory.com,"[""Business"", ""Career and Employment"", ""Technology""]",52.5,67.5,20156,71,31,56,Up to 4 days,Dofollow
mikegingerich.com,"[""Business"", ""Technology"", ""Marketing and Advertising""]",66,140.99,25206,68,28,63,Up to 7 days,Dofollow
lyricsgoo.com,"[""Fashion"", ""Movies"", ""Music""]",32.5,37.5,12995,55,29,31,Up to 4 days,Dofollow
amazingarchitecture.com,"[""Art"", ""Construction and Repairs"", ""Real Estate""]",202.49,224.99,171307,46,41,71,Up to 6 days,Dofollow
lorddecor.com,"[""Construction and Repairs"", ""Home and Family"", ""Leisure and Hobbies""]",131.99,206.99,,59,41,69,English,Dofollow
knowworldnow.com,"[""Business"", ""Health"", ""Home and Family""]",52.5,64.5,241,68,6,54,Up to 3 days,Dofollow
gudstory.com,"[""Business"", ""Lifestyle"", ""Real Estate""]",75,90,32713,67,28,55,Up to 4 days,Dofollow
thistradinglife.com,"[""Business"", ""Culture"", ""Finance""]",32.5,37.5,45365,43,30,41,Up to 6 days,Dofollow
hudsonweekly.com,"[""Business"", ""Technology"", ""Lifestyle""]",75,0,25918,60,30,64,Up to 7 days,Dofollow
abestfashion.com,"[""Fashion"", ""Technology"", ""News and Media""]",64.5,64.5,1859,61,5,43,N/A,Dofollow
kreafolk.com,"[""Beauty"", ""Construction and Repairs"", ""Leisure and Hobbies""]",87,101.99,285520,37,45,52,Up to 8 days,Dofollow
hackerella.com,"[""Health"", ""Technology"", ""Lifestyle""]",28.5,30.5,9518,29,31,33,Up to 8 days,Dofollow
roboticsandautomationnews.com,"[""Computers"", ""Technology"", ""Manufacturing""]",250.49,262.49,101136,57,39,72,Up to 5 days,Dofollow
exposedmagazine.co.uk,"[""Entertainment"", ""Food"", ""Lifestyle""]",66,140.99,24893,47,32,56,Up to 7 days,Dofollow
thededicatedhouse.com,"[""Home and Family""]",63,0,14217,32,25,54,Up to 5 days,Dofollow
ed.ted.com,"[""Business"", ""Education"", ""Entertainment""]",17.5,17.5,741321,93,71,92,Up to 8 days,Dofollow
myflashyhome.com,"[""Construction and Repairs"", ""Home and Family"", ""Real Estate""]",42.75,57,,36,26,33,English,Dofollow
wealthyoverview.com,"[""Fashion"", ""Movies"", ""Sports""]",30.5,35.5,13824,33,19,23,Up to 4 days,Dofollow
fizara.com,"[""Entertainment"", ""Technology"", ""Movies""]",23.5,27.5,61669,33,18,40,Up to 4 days,Dofollow
allblogthings.com,"[""Business"", ""Technology"", ""News and Media""]",60,67.5,10195,69,30,71,Up to 4 days,Dofollow
penzu.com,"[""Business"", ""Home and Family"", ""Lifestyle""]",17.5,17.5,1176413,75,48,78,Up to 7 days,Dofollow
coruzant.com,"[""Technology"", ""Internet""]",75,90,86130,55,49,75,Up to 7 days,Dofollow
hudsonfarmhouse.com,"[""Construction and Repairs"", ""For ?hildren"", ""Home and Family""]",74.25,149.24,19051,40,36,56,Up to 6 days,Dofollow
wispwillow.com,"[""Art"", ""Fashion"", ""Sports""]",75,75,49071,44,39,62,Up to 3 days,Dofollow
deskrush.com,"[""Business"", ""Finance"", ""Technology""]",22.5,24.5,12749,62,28,68,Up to 3 days,Dofollow
laprogressive.com,"[""Business"", ""Entertainment"", ""News and Media""]",76.5,88.5,38733,67,35,71,Up to 5 days,Dofollow
blackpressusa.com,"[""Fashion"", ""Music"", ""News and Media""]",26.5,27.5,63152,63,35,64,Up to 9 days,Dofollow
womenfitnessmag.com,"[""For Women"", ""Health"", ""Lifestyle""]",52.5,52.5,12449,40,5,54,Up to 6 days,Dofollow
chiangraitimes.com,"[""Education"", ""Miscellaneous"", ""News and Media""]",43.5,48,5650,79,26,69,N/A,Dofollow
businessmodulehub.com,"[""Automobiles"", ""Business"", ""Finance""]",67.5,82.5,3083,38,22,51,N/A,Dofollow
worldfinancialreview.com,"[""Business"", ""Finance"", ""Games""]",164.99,239.99,14194,48,38,72,N/A,Dofollow
publicistpaper.com,"[""Fashion"", ""Games"", ""Health""]",17.5,19.5,57,62,6,54,Up to 6 days,Dofollow
itsreleased.com,"[""Business"", ""Fashion"", ""Technology""]",29.5,32.5,495,19,13,47,Up to 5 days,Dofollow
evernote.com,"[""Internet"", ""Programming"", ""Web-development""]",27.5,90,10823373,92,58,91,Up to 8 days,Dofollow
techbullion.com,"[""Finance"", ""Technology"", ""Internet""]",22.5,34.5,299071,66,46,80,Up to 8 days,Dofollow
msn.com,"[""News and Media"", ""Politics"", ""Sports""]",299.99,374.98,593443045,94,100,92,Up to 6 days,Dofollow
metapress.com,"[""Business"", ""Fashion"", ""Technology""]",54,63,97464,76,42,81,Up to 6 days,Dofollow
apnews.com,"[""Business"", ""Fashion"", ""News and Media""]",90,97.5,96533368,92,92,91,Up to 5 days,Dofollow
urbansplatter.com,"[""Construction and Repairs"", ""Real Estate"", ""Travelling""]",33.99,46.5,138402,46,39,62,Up to 7 days,Dofollow
jpost.com,"[""Finance"", ""Health"", ""News and Media""]",762.95,0,19345898,90,70,87,Up to 3 days,Dofollow
livepositively.com,"[""Health"", ""Home and Family"", ""Lifestyle""]",24.5,0,125813,61,42,73,Up to 6 days,Dofollow
bignewsnetwork.com,"[""Business"", ""Fashion"", ""News and Media""]",16.5,17.5,138625,66,35,77,Up to 7 days,Dofollow
ipsnews.net,"[""Business"", ""Technology"", ""News and Media""]",21,21,130256,83,40,80,Up to 8 days,Dofollow
mirrorreview.com,"[""Business"", ""Fashion"", ""Technology""]",60,75,115307,64,42,68,Up to 6 days,Dofollow
anationofmoms.com,"[""Home and Family"", ""Lifestyle"", ""Personal Blogs""]",26.5,34.5,17025,66,30,54,Up to 7 days,Dofollow
markets.businessinsider.com,"[""Business"", ""Finance"", ""News and Media""]",224.99,254.99,7903227,94,93,92,Up to 5 days,
harlemworldmagazine.com,"[""Business"", ""Fashion"", ""News and Media""]",29.99,40.5,54051,54,42,72,Up to 7 days,Dofollow
goodmenproject.com,"[""For Men"", ""Home and Family"", ""Miscellaneous""]",88.5,97.5,345190,82,43,79,Up to 7 days,Dofollow
ventsmagazine.com,"[""Art"", ""Entertainment"", ""Music""]",17.5,20.5,32656,64,29,77,Up to 7 days,Dofollow
newsbreak.com,"[""Business"", ""Fashion"", ""News and Media""]",75,90,30299459,78,63,82,Up to 5 days,Dofollow
analyticsinsight.net,"[""Gadgets"", ""Technology"", ""Internet""]",142.49,157.49,917699,70,55,81,Up to 6 days,Dofollow
thepinnaclelist.com,"[""Construction and Repairs"", ""Home and Family"", ""Real Estate""]",57,67.5,52158,59,33,61,Up to 6 days,Dofollow
programminginsider.com,"[""Computers"", ""Technology"", ""Software development""]",24.5,27.5,108346,59,60,73,Up to 6 days,Dofollow
ecommercefastlane.com,"[""Business"", ""E-commerce"", ""Technology""]",88.5,148.49,106532,44,43,72,Up to 6 days,Dofollow
benzinga.com,"[""Business"", ""Fashion"", ""News and Media""]",2373.34,2438.27,15848690,88,64,87,Up to 3 days,Dofollow
wicz.com,"[""Business"", ""Lifestyle"", ""News and Media""]",149.99,179.99,148127,78,37,78,Up to 3 days,Dofollow
usawire.com,"[""Business"", ""Fashion"", ""News and Media""]",17.5,22.5,53115,55,33,68,Up to 5 days,Dofollow
bmmagazine.co.uk,"[""Business"", ""Career and Employment"", ""E-commerce""]",179.99,194.99,104980,66,46,77,Up to 8 days,Dofollow
theglobeandmail.com,"[""Business"", ""News and Media"", ""Politics""]",75,90,17192638,92,78,90,Up to 8 days,No
2amagazine.com,"[""Business"", ""Beauty"", ""Health""]",40.5,45,31263,55,39,51,Up to 5 days,Dofollow
timebusinessnews.com,"[""Business"", ""Finance"", ""Technology""]",16.5,17.5,42762,60,27,71,Up to 7 days,Dofollow
zerohedge.com,"[""Business"", ""Fashion"", ""Finance""]",22.5,27.5,31450297,84,64,82,Up to 6 days,Dofollow
azbigmedia.com,"[""Business"", ""Lifestyle"", ""Real Estate""]",119.99,134.99,205863,71,44,78,More than 10 days,Dofollow
digitaljournal.com,"[""Technology"", ""Miscellaneous"", ""News and Media""]",75,0,112660,89,39,87,Up to 4 days,
trans4mind.com,"[""Business"", ""Health"", ""Technology""]",22.5,22.5,54750,56,30,72,Up to 7 days,Dofollow
startup.info,"[""Business"", ""Finance"", ""Lifestyle""]",75,82.5,37165,53,28,75,Up to 3 days,Dofollow
kulfiy.com,"[""Business"", ""Technology"", ""Travelling""]",32.5,45,44636,71,42,69,Up to 6 days,Dofollow
nyweekly.com,"[""Business"", ""Fashion"", ""Technology""]",149.99,164.99,84781,61,38,76,N/A,Dofollow
thenewsgod.com,"[""Business"", ""Finance"", ""Technology""]",103.49,110.99,151621,61,33,59,Up to 7 days,Dofollow
thebraggingmommy.com,"[""Beauty"", ""For ?hildren"", ""Health""]",37.5,60,13669,35,28,52,More than 10 days,Dofollow
elevatedmagazines.com,"[""Business"", ""Fashion"", ""Home and Family""]",29.5,36.5,22045,23,27,49,Up to 7 days,Dofollow
psychreg.org,"[""Health"", ""Leisure and Hobbies"", ""Lifestyle""]",45,60,52072,53,30,72,Up to 6 days,Dofollow
inkl.com,"[""Business"", ""Technology"", ""News and Media""]",112.49,224.99,1270662,51,47,67,N/A,Dofollow
supanet.com,"[""Business"", ""Technology"", ""News and Media""]",49.5,67.5,37366,56,37,64,Up to 6 days,Dofollow
nerdbot.com,"[""Entertainment"", ""Games"", ""Technology""]",27.5,27.5,93308,51,36,63,Up to 6 days,Dofollow
ocnjdaily.com,"[""Business"", ""Fashion"", ""Real Estate""]",32.2,42,63662,48,36,69,Up to 7 days,Dofollow
residencestyle.com,"[""Home and Family"", ""Lifestyle"", ""Real Estate""]",40.5,60,3170,49,14,62,Up to 7 days,Dofollow
outlookindia.com,"[""Entertainment"", ""News and Media"", ""Politics""]",449.98,472.48,2120631,91,69,88,N/A,No
re-thinkingthefuture.com,"[""Construction and Repairs"", ""Culture"", ""Home and Family""]",97.5,112.49,454286,52,49,73,Up to 8 days,Dofollow
finehomesandliving.com,"[""Gadgets"", ""Startups"", ""Travelling""]",140.99,164.99,28586,42,35,64,Up to 5 days,Dofollow
genius.com,"[""Entertainment"", ""Music""]",17.5,17.5,160539045,91,95,86,Up to 6 days,No
luxurytravelmagazine.com,"[""Lifestyle"", ""Places"", ""Travelling""]",88.5,97.5,30739,54,34,72,Up to 6 days,Dofollow
londondaily.news,"[""Business"", ""Fashion"", ""News and Media""]",30.5,34.5,205151,57,42,72,Up to 8 days,Dofollow
theinscribermag.com,"[""Entertainment"", ""Health"", ""Lifestyle""]",37.5,112.49,67940,54,34,68,Up to 7 days,Dofollow
1883magazine.com,"[""Beauty"", ""Fashion"", ""Lifestyle""]",75,90,67109,51,39,63,Up to 7 days,Dofollow
gisuser.com,"[""Business"", ""Technology"", ""News and Media""]",26,67.5,48211,49,33,67,Up to 7 days,Dofollow
bbntimes.com,"[""Business"", ""Technology"", ""Marketing and Advertising""]",209.99,224.99,189008,72,48,71,Up to 5 days,Dofollow
thelondoneconomic.com,"[""Business"", ""Lifestyle"", ""News and Media""]",599.97,607.47,347216,72,38,73,Up to 3 days,Dofollow
todaynews.co.uk,"[""Business"", ""Environment"", ""Finance""]",45,67.5,40887,46,35,54,Up to 6 days,Dofollow
iemlabs.com,"[""Computers"", ""Technology"", ""Programming""]",45,60,30701,56,47,77,Up to 4 days,Dofollow
europeanbusinessreview.com,"[""Business"", ""Career and Employment"", ""Games""]",149.99,0,47798,55,31,79,Up to 1 day,Dofollow
savedelete.com,"[""Business"", ""Internet"", ""News and Media""]",97.5,0,21896,53,26,62,Up to 5 days,Dofollow
onyamagazine.com,"[""Business"", ""Fashion"", ""Lifestyle""]",51,64.5,16480,58,28,57,Up to 7 days,Dofollow
entrepreneur.com,"[""Education"", ""Entertainment"", ""News and Media""]",1464.25,1594.12,4963739,92,68,91,N/A,Dofollow
henof.com,"[""Business"", ""Entertainment""]",45,60,11014,65,33,59,Up to 6 days,Dofollow
entrepreneursbreak.com,"[""Business"", ""Technology"", ""Sports""]",20.5,32.5,3849,56,30,62,Up to 7 days,Dofollow
realtytimes.com,"[""Lifestyle"", ""Real Estate""]",112.49,0,20881,58,30,76,Up to 7 days,Dofollow
offthemrkt.com,"[""Food"", ""Lifestyle"", ""Real Estate""]",75,87,12179,35,33,61,Up to 9 days,Dofollow
soup.io,"[""Business""]",60,75,67943,88,30,78,Up to 6 days,Dofollow
barchart.com,"[""Finance""]",72,73.5,7512498,62,63,80,Up to 4 days,Dofollow
networkustad.com,"[""Health"", ""Technology"", ""Lifestyle""]",22.5,22.5,6952,62,31,56,Up to 8 days,Dofollow
stylevanity.com,"[""For Women"", ""Lifestyle"", ""Marketing and Advertising""]",31.99,40.5,26205,58,27,51,Up to 5 days,Dofollow
outdoorproject.com,"[""Leisure and Hobbies"", ""Places"", ""Travelling""]",17.5,22.5,88445,59,42,74,Up to 5 days,Dofollow
thewowstyle.com,"[""Beauty"", ""Fashion"", ""Health""]",45,0,7026,46,21,56,Up to 6 days,Dofollow
aboutinsider.com,"[""Business"", ""Health"", ""Technology""]",37.5,45,16899,51,27,52,Up to 4 days,Dofollow
monomousumi.com,"[""Business"", ""Education"", ""Lifestyle""]",52.5,58.5,39705,62,37,46,Up to 6 days,Dofollow
entrepreneurshiplife.com,"[""Business"", ""Lifestyle"", ""Marketing and Advertising""]",149.99,179.99,11713,41,33,68,More than 10 days,Dofollow
atlasobscura.com,"[""Lifestyle"", ""News and Media"", ""Travelling""]",45,0,3710957,91,70,86,Up to 8 days,Dofollow
streetinsider.com,"[""Business"", ""Marketing and Advertising"", ""News and Media""]",33.5,37.5,482611,83,54,80,Up to 5 days,Dofollow
indialegallive.com,"[""Finance"", ""Law"", ""News and Media""]",284.99,359.98,55667,45,41,56,N/A,Dofollow
expressdigest.com,"[""Finance"", ""Technology"", ""News and Media""]",53.85,83.85,49497,53,7,62,N/A,Dofollow
articlesfactory.com,"[""Business"", ""Health"", ""Technology""]",149.99,149.99,110540,55,37,77,Up to 2 days,Dofollow
theyeshivaworld.com,"[""Business"", ""Culture"", ""News and Media""]",119.99,127.49,10582637,64,61,71,Up to 7 days,Dofollow
theshaderoom.com,"[""Culture"", ""Fashion"", ""Movies""]",232.49,250.49,825995,64,58,71,N/A,Dofollow
androidheadlines.com,"[""Gadgets"", ""Technology"", ""News and Media""]",599.96,879.82,500221,85,41,78,Up to 6 days,Dofollow
finance.yahoo.com,"[""Business"", ""Finance""]",494.98,524.97,226305608,93,100,92,N/A,Dofollow
tastefulspace.com,"[""Fashion"", ""Lifestyle"", ""Travelling""]",54,69,695,54,6,62,Up to 3 days,Dofollow
houzz.com,"[""Home and Family"", ""Real Estate""]",21.5,22.5,6712399,89,72,92,Up to 5 days,Dofollow
beforeitsnews.com,"[""Business"", ""Technology"", ""News and Media""]",24.88,24.88,1914921,77,44,76,Up to 5 days,Dofollow
mediaindonesia.com,"[""Business"", ""Law"", ""Politics""]",494.98,0,2771228,62,72,78,Up to 7 days,Dofollow
artdaily.com,"[""Art"", ""Culture"", ""Entertainment""]",37.5,112.49,47968,64,39,77,Up to 6 days,Dofollow
readability.com,"[""Business"", ""Health"", ""Technology""]",60,64.5,28608,72,38,73,Up to 5 days,Dofollow
valiantceo.com,"[""Business"", ""Career and Employment"", ""Technology""]",82.5,157.49,37298,58,31,67,Up to 6 days,Dofollow
vocal.media,"[""Business"", ""Fashion"", ""News and Media""]",17.5,20.5,3542278,76,76,81,Up to 9 days,Dofollow
businessoutstanders.com,"[""Business"", ""Health"", ""Technology""]",24.5,34.5,,33,38,39,English,Dofollow
ccr-mag.com,"[""Construction and Repairs"", ""Real Estate"", ""Transport""]",28.5,35.5,14922,39,31,65,Up to 7 days,Dofollow
africa.businessinsider.com,"[""Business"", ""Lifestyle"", ""News and Media""]",1009.7,1074.64,3353460,94,91,92,N/A,Dofollow
theodysseyonline.com,"[""News and Media"", ""Politics"", ""Sports""]",1685.03,1749.96,622308,86,42,79,N/A,Dofollow
pojoksatu.id,"[""Business"", ""Lifestyle"", ""News and Media""]",97.5,119.99,1143851,55,45,67,Up to 8 days,Dofollow
insightssuccess.com,"[""Business""]",45,60,6814,52,30,73,Up to 8 days,Dofollow
calbizjournal.com,"[""Business"", ""Health"", ""Technology""]",51,60,14779,40,29,71,Up to 6 days,Dofollow
tmcnet.com,"[""Technology""]",164.99,239.99,54049,80,36,82,Up to 6 days,Dofollow
findatopdoc.com,"[""Health""]",36.5,42,187488,50,36,75,Up to 8 days,Dofollow
editorialge.com,"[""Business"", ""Health"", ""Technology""]",189.74,264.74,74592,77,36,78,Up to 6 days,Dofollow
flaremagazine.co.uk,"[""Business"", ""Career and Employment"", ""Internet""]",23.5,25.5,3252,36,22,56,Up to 8 days,Dofollow
mentalitch.com,"[""Entertainment"", ""Food"", ""Lifestyle""]",36.5,60,8926,49,22,65,Up to 5 days,Dofollow
lookwhatmomfound.com,"[""Health"", ""Home and Family"", ""Lifestyle""]",170.84,200.84,7041,65,36,69,Up to 6 days,Dofollow
londonlovesbusiness.com,"[""Business"", ""Finance"", ""Startups""]",199.49,209.99,141573,60,34,73,Up to 6 days,Dofollow
breakingac.com,"[""Books"", ""News and Media"", ""Politics""]",32.5,42,130407,40,37,47,Up to 5 days,Dofollow
dimensionsscript.com,"[""Business"", ""Health"", ""Technology""]",27.5,28.5,,42,11,47,English,Dofollow
traveldailynews.com,"[""Business"", ""News and Media"", ""Travelling""]",127.49,134.99,50823,59,35,75,Up to 7 days,Dofollow
blogbuz.co.uk,"[""Business"", ""Fashion"", ""Technology""]",27.5,27.5,28877,34,34,54,Up to 4 days,Dofollow
imei.info,"[""Art"", ""Computers"", ""Technology""]",75,82.5,2414041,68,62,72,Up to 6 days,Dofollow
ravguide.com,"[""Automobiles"", ""Fashion"", ""Travelling""]",26.5,27.5,25510,29,11,30,Up to 5 days,Dofollow
luxurylifestylemag.co.uk,"[""Fashion"", ""Lifestyle"", ""Travelling""]",314.98,329.98,78850,50,35,71,Up to 6 days,Dofollow
businessnewsthisweek.com,"[""Business"", ""Finance"", ""Technology""]",45,48,58665,40,35,73,Up to 8 days,Dofollow
tradebrains.in,"[""Business"", ""Finance"", ""Games""]",97.5,104.99,5203325,41,53,61,Up to 6 days,Dofollow
wilddiscs.com,"[""Business"", ""Education"", ""Health""]",32.5,0,39231,13,35,45,Up to 2 days,Dofollow
ziddu.com,"[""Business"", ""Technology"", ""News and Media""]",58.5,72,49197,93,22,74,Up to 6 days,Dofollow
howinsights.com,"[""Business"", ""Culture"", ""Music""]",20.5,23.5,12849,33,23,43,Up to 7 days,Dofollow
travelexperta.com,"[""Entertainment"", ""Lifestyle"", ""Travelling""]",52.5,67.5,3459,65,25,51,Up to 4 days,Dofollow
startmotionmedia.com,"[""Marketing and Advertising"", ""Movies"", ""News and Media""]",33.5,42,35157,64,33,50,Up to 8 days,Dofollow
deutsche-wirtschafts-nachrichten.de,"[""Business"", ""Finance"", ""News and Media""]",1535.66,0,164546,69,42,72,N/A,Dofollow
newsanyway.com,"[""Business"", ""Technology"", ""News and Media""]",60,75,4168,63,18,67,Up to 4 days,Dofollow
businessdailymedia.com,"[""Business"", ""Technology"", ""Marketing and Advertising""]",40.5,48,9404,33,25,59,Up to 6 days,Dofollow
thebossmagazine.com,"[""Food"", ""Technology"", ""Lifestyle""]",149.99,164.99,85069,49,39,74,Up to 5 days,Dofollow
exploratoryglory.com,"[""Miscellaneous"", ""Society"", ""Travelling""]",22.5,22.5,13263,19,29,41,Up to 5 days,Dofollow
